AnimalID	Time	CP.Start	CP.End	BG.Start	BG.End	Date	Delivery
TJKV06M.25	0	0.105159946164881	0.105159946164881	4.8	4.8	2018/03/20	IP
TJKV06M.27	0	0	0.008333	4.8	4.8	2018/03/20	IP
TJKV06M.31	0	0	0.008333	8	8	2018/03/20	IP
TJKV06M.33	0	0	0.008333	5.4	5.4	2018/03/20	IP
TJKV06M.40	0	0	0.008333	4.7	4.7	2018/03/20	IP
TJKV06M.44	0	0	0.008333	4.2	4.2	2018/03/20	IP
TJKV06M.46	0	0	0.008333	3.4	3.4	2018/03/20	IP
TJKV06M.30	0	0	0.008333	6	6	2018/03/20	IP
TJKV06M.04	0	0	0.008333	6.5	6.5	2018/03/20	IP
TJKV06M.05	0	0	0.008333	7.2	7.2	2018/03/20	IP
TJKV06M.01	0	0.078362652016279	0.078362652016279	6.4	6.4	2018/03/20	IP
TJKV06M.19	0	0	0.008333	6.2	6.2	2018/03/20	IP
TJKV06M.22	0	0	0.008333	5.3	5.3	2018/03/20	IP
TJKV06M.23	0	0	0.008333	5.7	5.7	2018/03/20	IP
TJKV06M.24	0	0	0.008333	4.8	4.8	2018/03/20	IP
TJKV06M.28	0	0	0.008333	5.1	5.1	2018/03/20	IP
TJKV06M.29	0	0	0.008333	5.1	5.1	2018/03/20	IP
TJKV06M.03	0	0.061195295680586	0.061195295680586	5.3	5.3	2018/03/20	IP
TJKV06M.34	0	0	0.008333	5.8	5.8	2018/03/20	IP
TJKV06M.42	0	0	0.008333	5.4	5.4	2018/03/20	IP
TJKV06M.43	0	0	0.008333	4.8	4.8	2018/03/20	IP
TJKV06M.41	0	0	0.008333	5.3	5.3	2018/03/20	IP
TJKV06M.45	0	0	0.008333	4.7	4.7	2018/03/20	IP
TJKV06M.20	0	0	0.008333	5.4	5.4	2018/03/20	IP
TJKV06M.06	0	0	0.008333	5.2	5.2	2018/03/20	IP
TJKV06M.07	0	0.054506561527238	0.054506561527238	6.5	6.5	2018/03/20	IP
TJKV06M.11	0	0	0.008333	4.6	4.6	2018/03/20	IP
TJKV06M.13	0	0.09282681877045	0.09282681877045	4.8	4.8	2018/03/20	IP
TJKV06M.15	0	0	0.008333	6.3	6.3	2018/03/20	IP
TJKV06M.18	0	0	0.008333	6.7	6.7	2018/03/20	IP
TJKV06M.02	0	0	0.008333	5.9	5.9	2018/03/20	IP
TJKV06M.26	0	0	0.008333	5.7	5.7	2018/03/20	IP
TJKV06M.32	0	0	0.008333	7.3	7.3	2018/03/20	IP
TJKV06M.35	0	0	0.008333	3.8	3.8	2018/03/20	IP
TJKV06M.36	0	0	0.008333	4.9	4.9	2018/03/20	IP
TJKV06M.37	0	0	0.008333	6.4	6.4	2018/03/20	IP
TJKV06M.38	0	0	0.008333	4.4	4.4	2018/03/20	IP
TJKV06M.47	0	0	0.008333	6.6	6.6	2018/03/20	IP
TJKV06M.48	0	0	0.008333	5.5	5.5	2018/03/20	IP
TJKV06M.10	0	0.064438788744171	0.064438788744171	5.2	5.2	2018/03/20	IP
TJKV06M.08	0	0	0.008333	5.3	5.3	2018/03/20	IP
TJKV06M.12	0	0	0.008333	5.1	5.1	2018/03/20	IP
TJKV06M.14	0	0	0.008333	6.5	6.5	2018/03/20	IP
TJKV06M.16	0	0	0.008333	6.9	6.9	2018/03/20	IP
TJKV06M.17	0	0.098378809883706	0.098378809883706	5.2	5.2	2018/03/20	IP
TJKV06M.21	0	0	0.008333	6.7	6.7	2018/03/20	IP
TJKV06M.25	30	0	0.008333	33.3	147	2018/03/20	IP
TJKV06M.27	30	0	0.008333	33.3	147	2018/03/20	IP
TJKV06M.31	30	0	0.008333	20.1	20.1	2018/03/20	IP
