AnimalID	Sex	BW	BG
10	Male	21.2	9.2
20	Male	19.9	7.9
30	Male	20.6	11.8
4	Male	20.1	10.1
5	Male	26	9.3
6	Male	19.6	8.6
7	Male	21.6	10
8	Male	21.1	9.8
9	Male	21	11
1	Male	18.3	11
11	Male	23.8	9.8
12	Male	24	9.2
13	Male	21.4	12
14	Male	22.4	11.9
15	Male	20.4	10.2
16	Male	21.3	11.1
17	Male	21	11.2
18	Male	20.5	11.3
19	Male	20.7	10.9
2	Male	19.4	10.8
21	Male	23.1	10.3
22	Male	20.5	11.2
23	Male	21.8	12.5
24	Male	22.5	9.6
25	Female	18.1	7.2
26	Female	17.7	9.6
27	Female	15.9	8.4
28	Female	15.8	6
29	Female	16.2	8.1
3	Female	18.1	8.4
31	Female	15	9.3
32	Female	18.2	7.7
33	Female	17.6	9.8
34	Female	15.8	8.9
35	Female	16.3	7.8
36	Female	18.3	8.7
37	Female	17.5	7.4
38	Female	17.8	8.3
39	Female	18.5	7.7
40	Female	18.2	8.4
42	Female	14.8	8.3
43	Female	17.1	6.4
41	Female	16.3	9.3
45	Female	17.3	7.9
44	Female	17.1	8.5
46	Female	17.7	7.6
47	Female	16.6	7
48	Female	15.9	5.6
