AnimalID	BW	BG	Date
TJKV06M.30	19.8	7.7	2018/02/15
TJKV06M.04	19.4	8.8	2018/02/15
TJKV06M.05	25.4	7	2018/02/15
TJKV06M.01	17.7	5.8	2018/02/15
TJKV06M.19	20	8.7	2018/02/15
TJKV06M.22	19.6	8.9	2018/02/15
TJKV06M.23	21.1	9.7	2018/02/15
TJKV06M.24	23.1	6.9	2018/02/15
TJKV06M.25	19	5.4	2018/02/15
TJKV06M.27	15.8	5.4	2018/02/15
TJKV06M.31	15.9	7	2018/02/15
TJKV06M.33	18	8.2	2018/02/15
TJKV06M.39	19	5.4	2018/02/15
TJKV06M.40	17.5	6.3	2018/02/15
TJKV06M.44	16.9	6.5	2018/02/15
TJKV06M.46	17.3	7.2	2018/02/15
TJKV06M.20	19.4	7.5	2018/02/15
TJKV06M.06	19.2	7.1	2018/02/15
TJKV06M.07	21.4	7.6	2018/02/15
TJKV06M.11	24.3	6.7	2018/02/15
TJKV06M.13	20.5	8.5	2018/02/15
TJKV06M.15	20	8.9	2018/02/15
TJKV06M.18	19.6	8.4	2018/02/15
TJKV06M.02	19	6.2	2018/02/15
TJKV06M.28	16.3	5.4	2018/02/15
TJKV06M.29	15.8	6.5	2018/02/15
TJKV06M.03	18.4	6.7	2018/02/15
TJKV06M.34	16.1	5.4	2018/02/15
TJKV06M.42	14.5	5.1	2018/02/15
TJKV06M.43	16.5	7.5	2018/02/15
TJKV06M.41	16.8	5.6	2018/02/15
TJKV06M.45	17.3	8.8	2018/02/15
TJKV06M.10	20.3	7.1	2018/02/15
TJKV06M.08	21	7.9	2018/02/15
TJKV06M.09	20.4	7.4	2018/02/15
TJKV06M.12	24.1	7.7	2018/02/15
TJKV06M.14	21.9	8.9	2018/02/15
TJKV06M.16	20.1	8.4	2018/02/15
TJKV06M.17	20	8.2	2018/02/15
TJKV06M.21	23.5	7.7	2018/02/15
TJKV06M.26	17.4	6.7	2018/02/15
TJKV06M.32	18.5	7	2018/02/15
TJKV06M.35	16.5	5.2	2018/02/15
TJKV06M.36	18	6.3	2018/02/15
TJKV06M.37	17.7	7.5	2018/02/15
TJKV06M.38	17.8	6.2	2018/02/15
TJKV06M.47	16.5	7.4	2018/02/15
TJKV06M.48	16.6	6.2	2018/02/15
TJKV06M.30	20.1	10.8	2018/02/17
TJKV06M.04	19.8	9.5	2018/02/17
TJKV06M.05	26	8.4	2018/02/17
TJKV06M.01	18.2	10.2	2018/02/17
TJKV06M.19	20.1	10.6	2018/02/17
TJKV06M.22	20.2	10.3	2018/02/17
TJKV06M.23	21.5	11	2018/02/17
TJKV06M.24	22.8	10.4	2018/02/17
TJKV06M.25	18.3	7.2	2018/02/17
TJKV06M.27	15.6	8	2018/02/17
TJKV06M.31	15.2	8.5	2018/02/17
TJKV06M.33	17.7	8	2018/02/17
TJKV06M.39	18.5	8.8	2018/02/17
TJKV06M.40	17.7	5.9	2018/02/17
TJKV06M.44	16.9	7.8	2018/02/17
TJKV06M.46	17.1	6	2018/02/17
